timestamp,mid_price,best_bid,best_ask,spread,spread_percent,bid_volume,ask_volume,pressure_01,pressure_025,pressure_05,pressure_1,pressure_2
2026-08-14T23:01:52.448350,11812091326.5,11805715334.0,11818467319.0,12751985.0,0.10795704712671314,2.52542741,2.32043098,68.27807316174108,60.0413286807611,68.53833792493013,66.69408281601294,55.74519817961337
2026-08-14T23:01:54.124958,11812091326.5,11805715334.0,11818467319.0,12751985.0,0.10795704712671314,2.52542741,2.32043098,68.27807316174108,60.0413286807611,68.53833792493013,66.69408281601294,55.74519817961337
2026-08-14T23:01:55.726231,11811881721.5,11805715334.0,11818048109.0,12332775.0,0.10440990936737768,2.52607979,2.32233565,61.183867907890274,54.2816806614098,64.88390229211684,66.85163154025045,55.7929125401166
2026-08-14T23:01:57.302975,11811881721.5,11805715334.0,11818048109.0,12332775.0,0.10440990936737768,2.52349856,2.31849211,77.07223759229852,66.45015816021888,73.97497349311189,67.0380869784553,55.83167862101983
2026-08-14T23:01:58.943446,11811881721.5,11805715334.0,11818048109.0,12332775.0,0.10440990936737768,2.52349856,2.31849211,77.07223759229852,66.45015816021888,73.97497349311189,67.0380869784553,55.83167862101983
2026-08-14T23:02:00.568346,11811881721.5,11805715334.0,11818048109.0,12332775.0,0.10440990936737768,2.52349856,2.3199989,60.913832965753,58.774477462459714,68.41175116853461,66.93130662044786,55.80148341246911
2026-08-14T23:02:02.098738,11811881721.5,11805715334.0,11818048109.0,12332775.0,0.10440990936737768,2.52349856,2.3199989,60.913832965753,58.774477462459714,68.41175116853461,66.93130662044786,55.80148341246911
2026-08-14T23:02:03.737836,11810611170.5,11805715334.0,11815507007.0,9791673.0,0.08290572654239257,2.52542382,2.32263442,58.891119823566875,52.710303321819296,68.16094638965211,68.40909134756258,56.23447434020873
2026-08-14T23:02:05.431371,11808268733.5,11801030460.0,11815507007.0,14476547.0,0.12259669327248718,2.51597589,2.32263442,3.6326550417814913,14.53201632846017,73.81433452729638,71.07144669844544,56.94416074801342
2026-08-14T23:02:07.039820,11808268734.0,11801030461.0,11815507007.0,14476546.0,0.12259668479865408,2.54500817,2.32263442,74.79667904829418,71.43496491977996,84.59043900049615,71.83464734910959,57.367301303909734
2026-08-14T23:02:09.704009,11808188343.0,11801030462.0,11815346224.0,14315762.0,0.12123588804786056,2.53125916,2.32326526,73.01010793491244,63.50081360543789,80.84064061780872,71.56066695894239,57.19249433892226
2026-08-14T23:02:11.317771,11807007342.0,11801030460.0,11812984224.0,11953764.0,0.10124296236759298,2.51405596,2.32069555,6.6224680815775026,15.447606050584605,83.92834703476399,72.7744514552842,57.41566709770579
2026-08-14T23:02:13.001180,11807007344.0,11801030464.0,11812984224.0,11953760.0,0.10124292847225656,2.52848452,2.32069555,84.19795004854535,70.54158409746717,87.79614178429539,73.16768575550998,57.63495881136008
2026-08-14T23:02:14.808913,11807007344.0,11801030464.0,11812984224.0,11953760.0,0.10124292847225656,2.51944644,2.3199989,66.51712049575087,52.07021762075189,86.92297775378805,72.98230081472754,57.51525824335704
2026-08-14T23:02:16.409073,11807007344.5,11801030465.0,11812984224.0,11953759.0,0.10124291999842247,2.52867496,2.32069555,84.36255919715342,70.70408211502442,87.8171349415041,73.17221261323765,57.63770677739794
2026-08-14T23:02:18.045771,11807102505.5,11801030465.0,11813174546.0,12144081.0,0.10285403209079474,2.53059078,2.32263442,77.47991659902628,65.62852862784003,85.21318464617738,72.9578905201387,57.59013410429616
2026-08-14T23:02:19.645679,11807102506.0,11801030466.0,11813174546.0,12144080.0,0.10285402361696072,2.53587502,2.32263442,82.37699602693596,71.78179945421063,86.37909199970534,73.10035292482749,57.66953506112913
2026-08-14T23:02:21.277778,11807102506.0,11801030466.0,11813174546.0,12144080.0,0.10285402361696072,2.521417,2.32263442,56.12247303931813,44.38564249709642,82.6050370942235,72.70467236541816,57.44984764074158
2026-08-14T23:02:22.987740,11807102506.5,11801030467.0,11813174546.0,12144079.0,0.10285401514312667,2.52521914,2.32263442,68.02318065555788,55.241196360602416,83.73112453781405,72.80460421562218,57.50603472455725
2026-08-14T23:02:24.583513,11807082363.0,11801030467.0,11813134259.0,12103792.0,0.10251298015782292,2.52330819,2.32069555,76.97792525825805,60.44281893423937,86.31257913806508,72.92407827680198,57.52617270467629
2026-08-14T23:02:26.250732,11807082363.5,11801030468.0,11813134259.0,12103791.0,0.10251297168398887,2.52832438,2.32069555,84.08436748293072,70.02194213136809,87.54576291293765,73.06800968217505,57.60511514207628
2026-08-14T23:02:27.896844,11807082363.5,11801030468.0,11813134259.0,12103791.0,0.10251297168398887,2.51950605,2.32069555,66.78256618017055,49.308441766345254,85.31291150128989,72.82424360567211,57.46993531803598
2026-08-14T23:02:29.514522,11807082364.0,11801030469.0,11813134259.0,12103790.0,0.10251296321015485,2.52822377,2.32069555,83.99450126107018,69.88931196425102,87.52531798851734,73.06540466554453,57.60363428045202
2026-08-14T23:02:31.166898,11807138885.5,11801030469.0,11813247302.0,12216833.0,0.10346988477456748,2.53018532,2.32263442,77.0381429138827,64.88874379890744,85.00177592225582,72.90109353339817,57.570818379379354
2026-08-14T23:02:32.788592,11807138885.5,11801030469.0,11813247302.0,12216833.0,0.10346988477456748,2.53018532,2.32263442,77.0381429138827,64.88874379890744,85.00177592225582,72.90109353339817,57.570818379379354
2026-08-14T23:02:34.441888,11807138886.0,11801030470.0,11813247302.0,12216832.0,0.10346987630073347,2.52653904,2.32263442,71.7565923822973,58.85591915674861,84.09188805948997,72.8061179086641,57.517126105691254
2026-08-14T23:02:36.835674,11807138886.5,11801030471.0,11813247302.0,12216831.0,0.10346986782689947,2.5255956,2.32193777,68.89486463333336,57.70598174358238,84.89164758116901,72.83110223915465,57.516905560009945
2026-08-14T23:02:38.458596,11807263044.0,11801030471.0,11813495617.0,12465146.0,0.1055718497466211,2.52369413,2.32020995,80.05894068643073,63.27359923339313,87.0262078211234,72.75689755645428,57.480895552612246
2026-08-14T23:02:40.145902,11807263044.5,11801030472.0,11813495617.0,12465145.0,0.10557184127278718,2.52876557,2.32069555,84.21228852679786,70.32826676732965,87.18596126613411,72.85126814412207,57.54572885017923
2026-08-14T23:02:41.820504,11807263044.5,11801030472.0,11813495617.0,12465145.0,0.10557184127278718,2.51956613,2.32069555,66.57268154683182,48.59876087990177,84.69013037290651,72.59557624450052,57.40482699548808
