timestamp,market,asset,price,change_24h,volume_24h,best_bid,best_ask,mid,spread_pct,bid_volume,ask_volume,pressure,hunter_score
2026-08-14T23:44:46.498218,UNI_IRT,UNI,600321.0,-0.0835,24056184799941.0,600002.0,601393.0,600697.5,0.23156414002055942,17443.6852,18450.4393,48.59760599537677,61.67
2026-08-14T23:44:46.498218,INJ_IRT,INJ,806945.0,-0.0621,17834977936104.0,802467.0,807249.0,804858.0,0.5941420722661638,2509.8332,2454.1285,50.56109115426898,61.242
2026-08-14T23:44:46.498218,CRV_IRT,CRV,45153.0,-0.0483,7876642198488.0,44895.0,45364.0,45129.5,1.0392315447766982,44214.3992,44313.4398,49.9440624547494,60.966
2026-08-14T23:44:46.498218,SHIB_IRT,SHIB,0.8585,0.0326,20412819032340.0,0.858,0.859,0.8585,0.1164822364589401,41121268578.7023,18881843888.2637,68.53189257697444,60.652
2026-08-14T23:44:46.498218,BONK_IRT,BONK,0.4412,0.0318,6882837739134.0,0.4077,0.4403,0.42400000000000004,7.688679245283023,193838463.7966,1572036104.7829,10.976910095745191,60.636
2026-08-14T23:44:46.498218,POL_IRT,POL,13981.0,0.0269,56083556102301.0,13948.0,13988.0,13968.0,0.286368843069874,128185.891,231184.5469,35.66957030440817,60.538
2026-08-14T23:44:46.498218,ATOM_IRT,ATOM,277262.0,-0.0227,17547712835541.0,275948.0,278303.0,277125.5,0.8497954897690757,7622.7318,7451.210599999999,50.56893278297255,60.454
2026-08-14T23:44:46.498218,LUNC_IRT,LUNC,8.917,-0.0224,6359317176471.0,20.0,5.0,12.5,-120.0,27221977.873,4780048.4013,85.0632945541366,60.448
2026-08-14T23:44:46.498218,S_IRT,S,4119.0,-0.0223,10485115841298.0,4116.0,4123.0,4119.5,0.16992353440951571,2660481.96,2491499.93,51.63997111798852,60.446
2026-08-14T23:44:46.498218,GMT_IRT,GMT,1177.0,-0.0223,11891937879297.0,1172.0,1178.0,1175.0,0.5106382978723404,693832.4006,656269.3157,51.39112055212192,60.446
2026-08-14T23:44:46.498218,SAND_IRT,SAND,7408.0,0.0218,9781154243406.0,7391.0,7423.0,7407.0,0.4320237613068718,101785.1562,131726.1769,43.58895769586098,60.436
2026-08-14T23:44:46.498218,LTC_IRT,LTC,8185773.0,-0.0201,73580932842186.0,8173264.0,8198425.0,8185844.5,0.3073720738281798,1931.233,1899.019,50.42052063415149,60.402
2026-08-14T23:44:46.498218,AXS_IRT,AXS,165891.0,0.0175,6100334553348.0,165233.0,166105.0,165669.0,0.5263507355027193,1394.9817,1508.6976,48.041865367156774,60.35
2026-08-14T23:44:46.498218,IMX_IRT,IMX,20260.0,-0.017,7660100905905.0,20086.0,20231.0,20158.5,0.7192995510578665,9867.0137,15297.1769,39.210534750917034,60.34
2026-08-14T23:44:46.498218,LINK_IRT,LINK,1685130.0,0.0166,49273000473900.0,1680039.0,1685100.0,1682569.5,0.3007899525101341,8842.6354,8911.1344,49.80708604208667,60.332
2026-08-14T23:44:46.498218,ALGO_IRT,ALGO,14879.0,0.0154,7249082196741.0,14833.0,14898.0,14865.5,0.4372540445999125,723454.8717,703374.7883,50.70366084904626,60.308
